错误码,HTTP 状态码,错误类型,错误描述,前端 / 客户端处理建议
1001,400,客户端错误,请求参数缺失或格式错误,检查请求参数后重试
1002,401,客户端错误,JWT 令牌无效或已过期,跳转至登录页面
1003,403,客户端错误,用户权限不足,隐藏相关操作按钮，提示无权限
1004,404,客户端错误,请求的资源不存在,提示资源不存在
1005,405,客户端错误,请求方法不支持,检查 HTTP 请求方法类型
2001,500,服务端错误,模型推理引擎失败,记录日志，系统自动降级
2002,500,服务端错误,数据库连接异常,触发重试，失败后系统告警
2003,500,服务端错误,数据库查询超时,缩小查询范围后重新请求
2004,500,服务端错误,事务提交失败,记录日志，提示用户稍后重试
3001,503,设备端错误,摄像头离线,推送设备离线告警至运维端
3002,503,设备端错误,传感器读取超时,降级为纯影像分析模式
3003,503,设备端错误,边缘端存储空间不足,触发缓存淘汰机制或发起告警
4001,502,第三方错误,短信平台调用失败,进入重试队列，采用指数退避策略
4002,502,第三方错误,地图 API 调用超时,返回本地缓存数据或业务降级处理
9001,429,系统级错误,请求频率超过限制,延迟后重试，控制每秒最多 1 次请求
9002,503,系统级错误,内部服务调用超时,熔断当前服务，返回兜底默认数据
