station_id,station_name,river_name,basin,province,city,longitude,latitude,data_source,api_id,notes
QT001,钱塘江闸口站,钱塘江,钱塘江流域,浙江,杭州,120.2050,30.2440,国家自动监测,330100_001,国控断面-钱塘江下游杭州城区段
QT002,钱塘江七堡站,钱塘江,钱塘江流域,浙江,杭州,120.2956,30.2717,国家自动监测,330100_002,国控断面-钱塘江感潮河段
QT003,钱塘江萧山站,钱塘江,钱塘江流域,浙江,杭州,120.3024,30.1826,国家自动监测,330100_003,国控断面-钱塘江南岸
FC001,富春江桐庐站,富春江,钱塘江流域,浙江,杭州,119.6528,29.8137,国家自动监测,moonapi_3367,国控断面-富春江中游桐庐段
FC002,富春江富阳站,富春江,钱塘江流域,浙江,杭州,119.9561,30.0536,国家自动监测,330100_005,国控断面-富春江下游
FC003,富春江窄溪站,富春江,钱塘江流域,浙江,杭州,119.7092,29.8765,省控监测,330100_006,省控断面-桐庐窄溪段
XA001,新安江洋溪渡站,新安江,钱塘江流域,浙江,杭州,119.0413,29.6087,国家自动监测,moonapi_3374,国控断面-新安江淳安段
XA002,新安江街口站,新安江,钱塘江流域,浙江,杭州,118.8456,29.7095,国家自动监测,330100_008,国控断面-新安江皖浙交界
XA003,新安江千岛湖站,新安江,钱塘江流域,浙江,杭州,119.0678,29.6002,省控监测,330100_009,省控断面-千岛湖湖区
XA004,新安江建德站,新安江,钱塘江流域,浙江,杭州,119.3284,29.5241,省控监测,330100_010,省控断面-建德城区段
